Department,Sub-Department,Billing Classification,Billing Code,"Description
",2011/2012,2012/2013,2012/2013,2013/2014
FIRE,MAIN FIRE,100 PERSONAL SERVICES,108,Tool Allowance,"$1,200 ","$1,600 ","$1,200 ","$1,600"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,109,Out of Title Pay,"$1,019 ","$5,000 ","$4,202 ","$5,000"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,110,Uniform Allowance ,"$1,400","$1,575 ","$1,400 ","$1,575 "
FIRE,MAIN FIRE,100 PERSONAL SERVICES,111,Contractual Retirement ,"$216,554 ","$375,000 ","$78,000","$375,000"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,112,Contractual Obligations ,"$148,540","$186,500 ","$166,867","$174,445"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,113,Sick Time Buy Back,"$101,353 ","$100,000","$20,000","$100,000"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,115, Injured on Duty,"$27,591 ",$0 ,"$34,468 ",$0
FIRE,MAIN FIRE,100 PERSONAL SERVICES,199,Less: Reimbursement Special Grants,"($24,225)",$0 ,$0 ,$0 
FIRE,MAIN FIRE,200 EQUIPMENT,202,Office Equipment & Furnishings,"$5,505 ","$7,000 ","$6,800 ","$7,000"
FIRE,MAIN FIRE,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$4,241 ","$6,000 ","$5,500 ","$6,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$249,285 ","$323,000 ","$315,676","$333,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$360,215","$425,000","$405,753","$425,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$3,796 ","$4,000 ","$4,000 ","$4,000 "
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$709,066 ","$825,000 ","$812,000","$875,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$9,897 ","$20,000 ","$14,800 ","$20,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,408,Uniforms ,$845,"$5,000 ","$4,550","$5,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,409,Uniform Allowance ,"$197,447","$194,500 ","$200,000 ","$176,500"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,410,Military Supplement Payments,"$2,321 ","$15,000 ","$2,500","$15,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,411,Utilities ,"$233,209 ","$314,000","$301,000","$238,520"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$183,380 ","$288,900 ","$277,600 ","$302,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$12,874 ","$15,000 ","$11,320 ","$15,000"
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$900,$900,$900,$900
FIRE,MAIN FIRE,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$28,821,340 ","$29,811,724","$27,822,324 ","$29,632,259"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,101,Salaries,"$418,639","$722,278 ","$575,940 ","$674,430"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,104,Overtime,"$58,974","$75,000 ","$88,090 ","$90,000"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,105,Holiday Pay,"$26,574 ","$49,671 ","$31,250","$43,244"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,107,Night Shift Differential,$864 ,"$7,920","$2,500 ","$7,128"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,111,Contractual Retirement ,$0 ,"$50,000 ","$24,000","$50,000 "
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,112,Contractual Obligations ,"$2,100 ","$4,500 ","$4,050 ","$4,050"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,113,Sick Time Buy Back,"$7,250 ","$10,000 ","$3,000 ","$10,000"
FIRE,FIRE PREVENTION BUREAU,100 PERSONAL SERVICES,115, Injured on Duty,"$8,505",$0,$0,$0
FIRE,FIRE PREVENTION BUREAU,200 EQUIPMENT,202,Office Equipment & Furnishings,"$22,478 ","$45,000 ",$0 ,"$45,000"
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$2,989 ","$3,000","$2,950 ","$3,000"
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$20,224 ","$48,690 ","$33,500","$48,690 "
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0 ,"$1,200 ",$950,"$1,200"
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$94,121 ","$38,000","$29,000","$33,000"
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$900,$900,$900,$900
FIRE,FIRE PREVENTION BUREAU,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$663,618 ","$1,056,159 ","$796,130 ","$1,010,642"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,101,Salaries,"$1,431,629 ","$1,573,065 ","$1,457,736 ","$1,456,828"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,104,Overtime,"$300,526","$225,000 ","$282,950 ","$250,000"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,105,Holiday Pay,"$88,601 ","$117,980 ","$109,860","$109,262"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,107,Night Shift Differential,"$12,224 ","$20,592 ","$15,474 ","$19,008"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,109,Out of Title Pay,$6,$0,$0,$0
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,111,Contractual Retirement ,"$21,797",$0,$0,$0
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,112,Contractual Obligations ,"$30,381","$11,700 ","$9,900"," $10,800"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,113,Sick Time Buy Back,"$14,557 ","$10,000 ","$3,000 ","$10,000"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($1,617,040) ","($1,908,337) ","($1,765,094)","($1,780,898)"
FIRE,AIRPORT CRASH RESCUE,100 PERSONAL SERVICES,-,TOTAL:,"$282,681 ","$50,000 ","$113,826 ","$75,000"
FIRE,FIRE EMS,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$27,700  ",$0,$0,$0
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,101,Salaries,"$3,574,607 ","$3,886,661 ","$3,482,367 ","$3,669,692"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,102,Wages,"$419,753 ","$454,709 ","$390,500 ","$455,062"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,104,Overtime,"$158,031","$163,926 ","$163,926 ","$153,214"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,105,Holiday Pay,"$158,031","$163,926 ","$163,926 ","$153,214"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,107,Night Shift Differential,"$5,020","$5,500","$4,000 ","$4,500"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,108,Tool Allowance,"$1,200 ","$1,600 ","$1,000","$1,400"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,110,Uniform Allowance,"$8,575","$9,100 ","$9,100 ","$9,100"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,112,Contractual Obligations,"$10,800","$17,100","$15,000 ","$17,100"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,113,Sick Time Buy Back,"$17,312 ","$45,000 ","$20,000","$45,000"
POLICE ,GENERAL SERVICES BUREAU,100 PERSONAL SERVICES,115,Injured on Duty,"$33,609 ",$0 ,"$15,000 ",$0
POLICE ,GENERAL SERVICES BUREAU,200 EQUIPMENT,202,Office Equipment & Furnishings,"$78,273 ","$80,550","$80,550","$73,300"
POLICE ,GENERAL SERVICES BUREAU,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$81,329 ","$78,900 ","$78,900","$67,600"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$908,256","$1,134,600 ","$1,130,000","$1,152,000"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$377,776 ","$465,000 ","$455,000 ","$455,000 "
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$75,257 ","$82,500 ","$82,500","$87,500"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$185,666 ","$195,098","$195,098","$194,950"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$112,172","$129,350 ","$129,350 ","$136,568"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,408,Uniforms,"$13,459 ","$20,000 ","$20,000 ","$15,200"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,411,Utilities,"$373,179 ","$457,320 ","$450,000 ","$446,120"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,415,Professional Services,"$518,214","$541,510 ","$540,000 ","$633,762"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,416,"Rental, Professional & Contractual Services","$50,409","$55,000","$55,000","$55,000"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,418,Postage & Freight,"$10,951","$16,000 ","$14,500 ","$16,000"
POLICE ,GENERAL SERVICES BUREAU,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$7,890,447 ","$8,654,424 ","$8,036,791","$8,388,068"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,101,Salaries ,"$29,470,487","$30,600,393 ","$27,850,000","$28,421,620"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,103,Temporary Services,"$212,248 ","$222,400 ","$213,000 ","$222,400"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,104,Overtime,"$7,759,023 ","$5,274,200 ","$5,833,000","$6,233,000"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,105,Holiday Pay,"$1,471,697 ","$1,510,919 ","$1,475,500","$1,402,099"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,107,Night Shift Differential,"$245,828 ","$277,500 ","$253,000","$272,500"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,110,Uniform Allowance,"$18,920","$19,980 ","$19,260 ","$19,980"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,112,Contractual Obligations,"$99,000","$112,500 ","$112,500","$112,500"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,113,Sick Time Buy Back,"$118,100 ","$123,000 ","$164,000 ","$123,000"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,115,Injured on Duty,"$607,269 ",$0,"$636,500 ",$0
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($3,788,245)","($1,028,000)","($563,544)","($513,544)"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,199,Less: Reimbursement Special Grants,"($1,280,335) ","($1,026,779) ","($1,122,311) ","($1,053,715)"
POLICE ,UNIFORM BUREAU,100 PERSONAL SERVICES,202,Office Equipment & Furnishings,"$28,296 ","$36,000 ","$36,000","$56,000"
POLICE ,UNIFORM BUREAU,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$66,836 ","$77,947 ","$77,947","$66,072"
POLICE ,UNIFORM BUREAU,200 EQUIPMENT,405,Functional Operating Supplies & Expenses,"$115,562","$108,400 ","$112,207","$108,400"
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$23,559 ","$33,500 ","$33,500 ","$37,500"
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$266,393 ","$344,750"," $325,000 ","$347,300"
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,410,Military Supplement Payments,"$32,709 ",$0 ,"$58,000 ",$0
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,415,Professional Services,"$290,183 ","$327,760 ","$300,000 ","$280,560"
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,425,Police Training Classes,$780 ,"$10,500 ","$2,000","$10,500"
POLICE ,UNIFORM BUREAU,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$35,758,310 ","$37,024,970 ","$35,815,559 ","$36,146,172"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,100 PERSONAL SERVICES,101,Salaries ,"$294,480 ","$394,140 ","$300,542 ","$454,573"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,100 PERSONAL SERVICES,106,Car Allowance,$25,$0,$0,$0
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,200 EQUIPMENT,202,Office Equipment & Furnishings,"$1,065 ",$700 ,$573 ,$700
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$5,614 ","$5,500","$5,500 ","$5,500"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,$708 ,"$1,250 ",$800 ,"$1,250 "
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$2,796","$2,600 ","$2,600","$3,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$1,354 ","$2,600 ","$2,000 ","$3,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$65,$250,$150 ,$250
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$138,635 ","$145,132","$114,788","$137,504"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$1,085 ","$1,500 ","$1,200","$1,500"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement From Other Funds,$0,$0,$0,"($7,600)"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",ADMINISTRATION BUREAU,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$445,827 ","$553,672 ","$428,153 ","$599,677"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,101,Salaries ,"$165,398 ","$164,735 ","$165,010","$168,104"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,102,Wages ,"$1,267,036 ","$1,542,356 ","$1,285,752","$1,546,920"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,103,Temporary Services,"$171,978 ","$212,000","$111,361 ","$130,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,104,Overtime,"$99,461","$125,000 ","$90,000 ","$110,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,106,Car Allowance,"$4,660","$5,500 ","$4,800 ","$5,500"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,108,Tool Allowance,$400,$400,$400,$400
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,100 PERSONAL SERVICES,110,Uniform Allowance,"$9,450","$9,625","$9,450","$9,450"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$3,120","$6,000","$6,000","$6,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$95,393 ","$110,000 ","$105,890","$105,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$32,896 ","$50,000 ","$31,420","$40,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,403,Office Supplies,$295,$500 ,$445 ,$500
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$252,481 ","$325,000","$264,009 ","$295,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0 ,$250,$0,$250
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,408,Uniforms,"$4,981 ","$6,000 ","$4,750 ","$6,142"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$904,729","$1,358,825 ","$1,206,317 ","$1,234,190"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$579,"$1,000 ","$1,000","$2,800"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,420,Clinton Square Maintenance,"$35,718",$0,"$30,000",$0
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement From Other Funds,"($50,385) ","($35,000) ","($38,175) ","($35,000)"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$2,998,190 ","$3,882,191 ","$3,278,429 ","$3,625,256"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,101,Salaries ,"$1,141,194","$1,274,085","$1,101,845 ","$1,214,523"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,102,Wages ,"$83,855 ","$102,950","$63,000 ","$114,816"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,103,Temporary Services,"$1,211,522 ","$1,175,000","$1,234,584","$1,400,524"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,104,Overtime,"$14,956 ","$17,600","$15,000","$17,600"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,106,Car Allowance,"$29,446 ","$38,500 ","$30,000 ","$30,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,100 PERSONAL SERVICES,107,Night Shift Differential,"$1,042 ","$1,950 ","$1,100","$1,463"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,110,Uniform Allowance,$0,$175,$0,$175
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$22,051 ","$25,000 ","$14,000 ","$20,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$22,322 ","$15,000 ","$10,000 ","$15,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$83,176 ","$105,000","$95,000 ","$94,500"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,408,Uniforms,$40,$200,$0,$200
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$647,992 ","$764,236 ","$674,662","$648,685"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$1,298 ","$1,200 ","$1,200 ","$1,200"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$34 ,$200 ,$50,$200
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DIVISION OF RECREATION,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$3,258,928 ","$3,521,096 ","$3,240,441 ","$3,558,886"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,100 PERSONAL SERVICES,101,Salaries ,"$299,847 ","$324,565 ","$295,912","$295,293"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,100 PERSONAL SERVICES,104,Overtime,"$5,518 ","$10,000","$5,500 ","$7,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,100 PERSONAL SERVICES,107,Night Shift Differential,$0,$0,$566,$0
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,100 PERSONAL SERVICES,110,Uniform Allowance,$175,$175,$175,$175
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$22,664 ","$24,990 ","$24,451 ","$25,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$3,487 ","$10,000","$4,749 ","$5,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$2,731 ","$2,700 ","$2,700","$3,450"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,408,Uniforms,"$3,503 ","$4,000 ","$3,450 ","$4,000"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$91,590 ","$97,000 ","$94,975 ","$105,664"
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$61 ,$400 ,$0 ,$800
"DEPARTMENT OF PARKS, RECREATION & YOUTH PROGRAMS",DOG CONTROL DIVISION,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$429,576 ","$473,830 ","$432,478","$446,382"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,175,Harrison Street Parking Garage,$0,$0,$0,$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,220,Harrison Street Garage-2nd Phase,"$5,000",$0,$0,$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,220,Convention Center Garage,"$300,000",$0,$0,$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,220,Fayette Parking Garage Renovations,"$41,482",$0,$0,$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,235,Washington Street Garage-Conversion to Fixed Rate,"$865,000 ","$880,000 ","$880,000 ","$900,000"
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,1995/96 Traffic Signal Interconnect,"$10,894 ","$11,330","$11,330",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Walton Street Bridge Improvements,"$43,577 ","$45,320 ","$45,320",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Fire Station Rehabilitation,"$98,048 ","$101,970","$101,970",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,1997 Fire Apparatus Replacement,"$10,894 ","$11,330","$11,330",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 Fire Apparatus Replacement,"$65,365","$67,980","$67,980",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,1999 Fire Station Rehabilitation,"$35,951 ","$37,389","$37,389",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Hotel Syracuse Parking Garage,"$40,853 ","$42,487","$42,487",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Parking Facility Lighting,"$54,471 ","$56,650","$56,650",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,Salt Storage Shed Construction,"$16,341","$16,995","$16,995",$0
GENERAL FUND DEBT SERVICE,SERIAL BONDS-PRINCIPAL,,275,2000 Creek Walk Construction Phase IV,"$97,394 ","$101,290 ","$101,290",$0
